106	0	R
39	4	W
73	5	R
70	6	W
76	7	R
88	9	W
67	11	R
52	15	R
135	20	W
139	25	W
150	30	R
15	31	W
3	36	R
93	41	W
106	43	W
92	45	W
99	47	R
97	48	W
79	49	W
118	51	R
12	53	R
128	57	R
68	59	W
133	62	R
101	66	R
65	67	R
40	69	R
22	73	W
141	78	W
54	83	W
145	86	W
130	91	W
47	96	R
87	99	W
83	104	R
91	109	R
83	114	R
24	119	R
85	123	W
122	128	W
83	132	W
13	136	R
28	137	W
132	141	W
45	145	R
131	147	R
114	152	R
131	155	W
71	158	W
39	162	R
120	166	R
121	171	R
26	174	W
98	176	W
58	179	W
150	180	R
132	184	W
93	188	W
144	190	W
13	193	R
38	194	R
119	195	R
33	196	R
34	199	W
81	200	W
46	204	W
90	208	R
23	212	W
59	213	W
8	217	R
75	218	R
85	221	R
43	222	W
96	224	R
86	229	R
55	234	W
48	237	R
6	242	W
122	243	R
86	245	R
71	246	W
63	249	R
29	252	R
141	254	W
75	255	R
116	260	W
114	264	W
64	266	W
30	268	R
84	271	W
125	275	W
112	277	W
46	280	W
122	282	W
72	285	W
4	288	R
111	289	R
101	293	W
90	295	R
68	298	W
139	300	R
13	303	W
92	305	W
27	308	R
133	311	R
15	312	W
27	317	R
37	321	R
23	323	R
120	326	W
103	330	W
15	334	W
7	337	W
41	340	W
22	344	W
67	346	R
129	350	R
121	355	W
138	358	R
32	361	R
33	362	W
98	365	R
100	366	R
70	370	R
149	374	W
8	375	W
129	380	R
111	381	W
138	383	R
60	387	R
63	390	R
5	392	W
97	393	R
80	395	W
127	398	W
93	401	W
148	405	W
8	409	R
24	413	R
67	415	R
80	418	R
124	421	R
140	422	R
14	426	R
88	429	R
115	434	R
70	439	R
104	444	W
15	449	R
40	454	R
11	459	W
10	460	W
34	465	R
24	466	R
82	471	R
134	472	W
12	477	R
35	479	R
112	480	R
43	482	W
89	483	W
11	486	R
142	490	R
149	491	R
101	493	R
74	494	W
141	499	W
87	503	W
46	504	R
25	509	W
106	512	W
90	515	R
110	518	R
145	522	R
28	525	R
139	527	R
3	528	W
72	530	W
102	534	W
106	539	R
133	542	R
95	545	W
88	548	W
130	551	R
16	554	R
94	555	W
117	557	R
150	560	W
40	565	W
149	566	R
81	567	W
134	569	R
95	574	W
113	576	R
21	579	R
42	580	R
132	582	R
54	587	W
141	590	W
141	595	R
27	600	W
35	605	W
89	607	R
108	610	R
37	611	W
18	613	W
144	615	R
89	617	R
73	622	W
86	623	R
66	628	W
9	632	R
146	634	R
104	637	R
39	640	R
140	643	W
74	647	W
122	651	W
113	654	R
131	659	R
106	663	R
148	665	R
28	666	R
60	669	R
71	670	R
100	674	R
133	677	W
41	680	W
139	684	W
76	686	W
123	687	W
18	691	R
75	694	R
46	698	W
61	701	W
97	702	W
1	703	R
78	708	R
28	711	W
82	712	W
139	717	W
113	720	R
125	724	R
142	727	R
42	731	W
20	735	R
13	739	R
96	740	R
108	741	W
29	744	W
7	748	R
12	750	R
134	753	R
51	756	W
88	761	R
84	766	W
142	768	R
5	771	R
120	772	W
99	774	W
109	777	W
37	781	R
142	785	W
53	788	R
36	791	W
146	795	W
142	800	W
112	802	W
16	806	W
5	807	R
136	811	R
71	813	W
76	814	R
121	819	W
135	822	R
122	825	W
61	830	R
14	832	R
141	834	W
140	836	R
83	840	R
54	844	W
118	846	W
20	847	R
96	848	W
70	849	R
46	851	W
